Unnamed: 0.1,Unnamed: 0,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
0,42,42 Coin,Scrypt,True,PoW/PoS,41.99995383,42
1,365,365Coin,X11,True,PoW/PoS,,2300000000
2,404,404Coin,Scrypt,True,PoW/PoS,1055184902.04,532000000
3,611,SixEleven,SHA-256,True,PoW,,611000
4,808,808,SHA-256,True,PoW/PoS,0.0,0
5,1337,EliteCoin,X13,True,PoW/PoS,29279424622.5027,314159265359
6,2015,2015 coin,X11,True,PoW/PoS,,0
7,BTC,Bitcoin,SHA-256,True,PoW,17927175.0,21000000
8,ETH,Ethereum,Ethash,True,PoW,107684222.6865,0
9,LTC,Litecoin,Scrypt,True,PoW,63039243.3000049,84000000
10,DASH,Dash,X11,True,PoW/PoS,9031294.37563393,22000000
11,XMR,Monero,CryptoNight-V7,True,PoW,17201143.1449131,0
12,ETC,Ethereum Classic,Ethash,True,PoW,113359703.0,210000000
13,ZEC,ZCash,Equihash,True,PoW,7383056.25,21000000
14,BTS,Bitshares,SHA-512,True,PoS,2741570000.0,3600570502
15,DGB,DigiByte,Multiple,True,PoW,11406219141.0,21000000000
16,BTCD,BitcoinDark,SHA-256,True,PoW/PoS,1288862.0,22000000
17,CRAIG,CraigsCoin,X11,True,PoS,,30000000
18,XBS,Bitstake,X11,True,PoW/PoS,0.0,1300000
19,XPY,PayCoin,SHA-256,True,PoS,11995334.8847328,12500000
20,PRC,ProsperCoin,Scrypt,True,PoW,5768310.0,21000000
21,YBC,YbCoin,Multiple,True,PoS,,200000000
22,DANK,DarkKush,X13,True,PoW/PoS,,3000000
23,GIVE,GiveCoin,X11,True,PoW,,500000000
24,KOBO,KoboCoin,X15,True,PoW/PoS,25542535.5881841,350000000
25,DT,DarkToken,NIST5,True,PoW/PoS,,0
26,CETI,CETUS Coin,Scrypt,True,PoW/PoS,,0
27,SPR,Spreadcoin,X11,True,PoW,11149733.9976203,20000000
28,WOLF,Insanity Coin,X11,True,PoW,,50000000
29,ACOIN,ACoin,SHA-256,True,PoW,0.0,1600000
30,AERO,Aero Coin,X13,True,PoS,0.0,7000000
31,ALF,AlphaCoin,Scrypt,True,PoW,,210182000
